ALB                    CARICA BATTERIA BC 12V
BC                     BATTERIA ALLARME 12V 7AH
AMC1                   ALIMENTATORE MCP2015X,RSS 24V
AMC2                   ALIMENTATORE MCP2015X,RSS 24V
AB1                    CARICA BATTERIA 0-24
AB2                    CARICA BATTERIA 24-48
AB3                    CARICA BATTERIA 48-72
AB4                    CARICA BATTERIA 72-96

F1                     FUSIBILE 4A TR1
F2                     FUSIBILE 4A TR2
F3                     FUSIBILE 4A CIRCUITO MANOVRA
F4                     FUSIBILE 4A CIRCUITO LUMINOSE
F5-F6                  FUSIBILE MOTORE PORTE TRIFASE-48VCC
F7                     FUSIBILE 4A OPERATORE PORTE ELETTRONICO
F8                     FUSUBILE PATTINO RETRATTILE
F9                     FUSIBILE 4A PROTEZIONE CIRCUITO FRENO
F10                    FUSIBILE 4A PRESA 24V BATTERIE
F11                    FUSIBILE 4A PRESA 48V BATTERIE
F96                    FUSIBILE 4A PRESA 96V BATTERIE
F16-F17                FUSIBILE 4A VENTOLA MOTORE
VA                     VALVOLA MAGNETOTERMICA PROTEZIONE CIRCUITO MANOVRA
TR1                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO
TR2                    TRASFORMATORE MONOFASE ALIMENTAZIONE QUADRO

TM-TM1                 TELERUTTORI MARCIA
RF                     RELÈ FRENO
RP                     RELÈ PATTINO
AP1-AP2                RELÈ APERTURA
CP1-CP2                RELÈ CHIUSURA
TE1-TE2                TELERUTTORI EMERGENZA

RL1                    RELÈ RALL.OPERATORE 48VCC LATO1
RL2                    RELÈ RALL.OPERATORE 48VCC LATO2
RVF                    RELÈ VENTOLA MOTORE
RD1                    RADDRIZZATORE MANOVRA
RD2                    RADDRIZZATORE LUMINOSE
RD3                    RADDRIZZATORE FRENO
RD4                    RADDRIZZATORE PATTINO
RD5-RD6                RADDRIZZATORI OPERATORI PORTE 4VCC

MCP2015X               SCHEDA MADRE MICROPROCESSORE
PER16                  SCHEDA ESPANSIONE CHIAMATE-LUMINOSE
L1307                  SCHEDA LEGGE 13
MIAE                   SCHEDA EMERGENZA
